article_title,page_size,num_watchers,num_edits,num_redirects,creation_date,last_edit_date,authors_in_last30,page_views_last30
La Seine no Hoshi,"3,853",Fewer than 30 watchers,67,Yes,"16:26, 19 June 2005","13:50, 20 January 2018",1,577
Gary Keating,"4,391",Fewer than 30 watchers,18,Yes,"20:05, 23 September 2014","20:26, 28 August 2017",0,50
Colton's Crossing Bridge,"2,472",Fewer than 30 watchers,18,Yes,"16:58, 14 July 2012","02:15, 15 October 2017",0,42
Philippe Echaroux,"7,418",Fewer than 30 watchers,36,Yes,"01:07, 1 December 2016","09:10, 1 July 2017",0,163
Reverence,"4,826",Fewer than 30 watchers,11,Yes,"17:43, 6 September 2013","06:26, 16 January 2016",0,135
Surpura,495,Fewer than 30 watchers,8,Yes,"07:05, 8 July 2014","23:17, 12 February 2016",0,52
Dorymyrmex joergenseni,799,Fewer than 30 watchers,2,Yes,"16:47, 23 January 2015","10:05, 2 April 2015",0,25
HycI peptidase,"1,641",Fewer than 30 watchers,8,Yes,"07:22, 7 May 2013","21:54, 20 May 2016",0,26
Alex Belli,"2,412",Fewer than 30 watchers,16,Yes,"18:15, 22 December 2011","15:58, 25 June 2017",0,275
Ryūkōsai Jokei,"2,368",Fewer than 30 watchers,22,Yes,"02:41, 2 February 2009","08:07, 28 June 2017",0,48
Business process management,"32,622",285,"1,979",8,"16:03, 30 October 2002","15:12, 20 January 2018",4,"20,689"
Alligator,"9,845",Fewer than 30 watchers,148,Yes,"19:51, 4 February 2006","09:05, 20 January 2018",1,"3,852"
Fugging,"7,625",Fewer than 30 watchers,68,Yes,"01:14, 13 November 2009","01:34, 7 December 2017",0,721
Robin Farquharson,"16,038",Fewer than 30 watchers,150,Yes,"14:53, 4 August 2008","17:25, 7 September 2017",0,247
Kiana Weber,"2,471",Fewer than 30 watchers,17,Yes,"20:10, 21 September 2015","13:29, 22 November 2017",0,337
Ropica biplagiata,756,Fewer than 30 watchers,6,Yes,"23:43, 5 March 2015","03:28, 8 April 2016",0,15
"Shahpurabad, Selseleh","1,852",Fewer than 30 watchers,4,Yes,"17:55, 10 February 2012","05:23, 26 March 2017",0,23
Lord Eustace Cecil,"3,246",Fewer than 30 watchers,47,Yes,"20:33, 1 January 2007","01:40, 17 December 2017",0,164
Patterson State Park,"8,266",Fewer than 30 watchers,66,Yes,"23:52, 1 November 2006","17:15, 21 May 2017",0,71
U.S. Lady,"1,978",Fewer than 30 watchers,28,Yes,"14:57, 27 August 2012","13:27, 24 February 2017",0,199
Woo Hyun-jung,"1,085",Fewer than 30 watchers,6,Yes,"20:12, 29 May 2012","23:21, 23 May 2016",0,31
Thomas J. Henderson (activist),"1,314",Fewer than 30 watchers,38,Yes,"06:10, 15 March 2005","16:20, 12 September 2016",0,19
List of oil fields in Libya claimed by ISIL,"1,642",Fewer than 30 watchers,17,Yes,"20:25, 24 April 2015","19:30, 27 March 2017",0,75
Tea production in Sri Lanka,"60,685",31,618,9,"19:54, 14 February 2007","01:58, 27 December 2017",1,"8,454"
Yuichi Shibakoya,"3,999",Fewer than 30 watchers,97,Yes,"12:38, 18 November 2008","20:33, 16 April 2017",0,64
Tabubil Airport,"8,203",Fewer than 30 watchers,49,Yes,"03:21, 13 March 2007","13:46, 18 February 2017",0,232
Belak,383,Fewer than 30 watchers,1,Yes,"15:30, 17 September 2017","15:30, 17 September 2017",0,40
Jim Riggleman,"13,907",Fewer than 30 watchers,308,Yes,"15:11, 1 April 2006","04:01, 23 December 2017",0,648
Art Mills,"5,395",Fewer than 30 watchers,34,Yes,"21:52, 4 September 2010","21:04, 4 August 2017",0,45
Myopsyche,"2,001",Fewer than 30 watchers,12,Yes,"02:45, 12 September 2008","02:51, 4 March 2015",0,45
Diacheila,973,Fewer than 30 watchers,8,Yes,"15:53, 30 June 2011","09:16, 10 August 2017",0,42
Sam Hunter,"5,248",Fewer than 30 watchers,69,Yes,"16:31, 16 January 2006","05:55, 27 November 2017",0,173
Hiroshima Rapid Transit,"1,103",Fewer than 30 watchers,28,Yes,"10:01, 13 December 2006","02:16, 15 March 2017",0,175
Naroli,438,Fewer than 30 watchers,6,Yes,"07:16, 13 January 2012","22:02, 29 January 2015",0,210
The Design of an Optimizing Compiler,"1,609",Fewer than 30 watchers,24,Yes,"14:33, 19 November 2006","17:28, 19 January 2018",1,91
Titus (usurper),"3,700",Fewer than 30 watchers,27,Yes,"00:22, 17 October 2006","23:02, 10 March 2016",0,58
"Grafton, Utah","8,093",Fewer than 30 watchers,102,Yes,"21:30, 22 July 2007","02:49, 14 January 2018",1,775
Wildhorse Creek (Alvord Lake),"5,268",Fewer than 30 watchers,8,Yes,"21:54, 12 December 2015","17:52, 29 May 2017",0,40
Bowler hat,"14,763",83,"1,210",11,"21:11, 3 January 2004","16:44, 18 December 2017",0,"15,151"
The Big Six,"4,589",Fewer than 30 watchers,71,Yes,"14:36, 10 May 2006","21:24, 31 May 2017",0,473
Preixens,"3,239",Fewer than 30 watchers,29,Yes,"10:17, 29 January 2011","14:24, 18 April 2017",0,33
Bernt Berntsen,"13,700",Fewer than 30 watchers,69,Yes,"06:20, 4 November 2010","03:57, 9 December 2016",0,72
Quebrangulo,"2,404",Fewer than 30 watchers,32,Yes,"22:42, 1 December 2006","02:31, 30 March 2017",0,73
Klaas Vantornout,"2,842",Fewer than 30 watchers,45,Yes,"00:45, 17 January 2008","05:16, 17 January 2018",1,140
Riitta Resch,"2,231",Fewer than 30 watchers,10,Yes,"08:25, 15 September 2017","17:38, 2 January 2018",1,17
Legion of Antibes,"2,072",Fewer than 30 watchers,5,Yes,"05:41, 17 December 2009","09:41, 24 October 2015",0,75
Collingwood Bay (Papua New Guinea),269,Fewer than 30 watchers,7,Yes,"02:54, 10 February 2009","23:12, 29 July 2016",0,195
European Federation of Energy Traders,"5,975",Fewer than 30 watchers,16,Yes,"10:45, 26 February 2014","17:57, 1 July 2016",0,182
Vega (surname),"1,907",Fewer than 30 watchers,53,Yes,"23:20, 19 November 2006","05:35, 8 May 2017",0,475
Aortic valve area calculation,"11,540",Fewer than 30 watchers,60,Yes,"03:32, 12 January 2007","20:59, 17 December 2017",0,"2,456"
UkrAutoProm,"1,983",Fewer than 30 watchers,3,Yes,"18:28, 18 June 2017","21:40, 19 June 2017",0,53
Úrvalsdeild Women's Domestic All-First Team,"3,458",Fewer than 30 watchers,9,Yes,"19:51, 6 June 2017","11:51, 13 January 2018",1,36
Orel (Chrudim District),602,Fewer than 30 watchers,25,Yes,"13:45, 22 May 2006","01:55, 7 April 2016",0,63
Ethiopic Supplement,"2,956",Fewer than 30 watchers,13,Yes,"10:55, 25 March 2013","21:13, 7 July 2017",0,184
Richard Packard,984,Fewer than 30 watchers,19,Yes,"01:14, 27 January 2013","20:53, 29 December 2017",1,79
Ingrid Pan,"1,638",Fewer than 30 watchers,11,Yes,"20:28, 15 July 2017","23:32, 21 August 2017",0,43
Sas Carey,"14,466",Fewer than 30 watchers,87,Yes,"17:18, 27 April 2012","14:52, 30 October 2017",0,51
Kungia,853,Fewer than 30 watchers,7,Yes,"18:40, 22 November 2017","12:11, 24 November 2017",0,98
Dianthus repens,"3,410",Fewer than 30 watchers,7,Yes,"14:00, 3 March 2014","13:05, 13 January 2018",1,112
Shao Wenkai,"2,983",Fewer than 30 watchers,17,Yes,"15:57, 1 November 2010","05:44, 8 November 2016",0,43
Sar Joulaki Rural District,"2,221",Fewer than 30 watchers,13,Yes,"05:14, 13 January 2016","18:55, 8 December 2017",0,17
Ecuadorian–Peruvian War,"19,387",34,561,10,"02:21, 12 March 2005","17:01, 1 December 2017",0,"3,875"
Central District (Darreh Shahr County),664,Fewer than 30 watchers,6,Yes,"18:18, 7 September 2011","18:49, 1 September 2013",0,31
Minye Kyawswa II of Ava,"18,981",Fewer than 30 watchers,17,Yes,"14:46, 1 August 2015","06:10, 13 December 2017",0,88
Jeroen van Damme,"1,077",Fewer than 30 watchers,26,Yes,"23:58, 10 September 2006","22:18, 7 March 2016",0,29
Naum Veqilharxhi,"16,048",Fewer than 30 watchers,88,Yes,"19:59, 2 July 2010","01:11, 15 November 2017",0,547
Queen Dong,"3,388",Fewer than 30 watchers,37,Yes,"14:33, 23 January 2015","13:56, 9 August 2017",0,158
Mette Jacobsen,"6,482",Fewer than 30 watchers,73,Yes,"09:15, 10 June 2006","08:01, 5 January 2018",1,120
Katechon,"5,347",Fewer than 30 watchers,84,Yes,"17:20, 31 January 2007","13:07, 7 November 2017",0,"1,900"
Seth Gilliard,"3,136",Fewer than 30 watchers,40,Yes,"01:36, 2 July 2013","13:53, 27 January 2017",0,46
Piero Gobetti,"4,921",Fewer than 30 watchers,67,Yes,"09:04, 8 May 2005","20:44, 19 June 2017",0,531
Lymexylon,"1,050",Fewer than 30 watchers,5,Yes,"14:33, 17 May 2012","18:44, 31 October 2017",0,39
Felipe Salvador,"34,193",Fewer than 30 watchers,46,Yes,"16:59, 29 May 2011","11:57, 12 January 2018",1,142
Kevin Jones (BMX rider),"4,974",Fewer than 30 watchers,87,Yes,"01:23, 27 December 2005","02:47, 17 January 2018",2,166
Lawton C. Johnson,"7,720",Fewer than 30 watchers,44,Yes,"18:10, 27 September 2009","17:06, 12 May 2017",0,81
Four Tet discography,"23,180",Fewer than 30 watchers,158,Yes,"12:24, 12 July 2007","11:46, 23 January 2018",1,778
2012 Missouri Tigers football team,"32,399",Fewer than 30 watchers,164,Yes,"21:54, 29 December 2011","15:51, 8 December 2017",0,845
Alchip,"5,850",Fewer than 30 watchers,43,Yes,"06:51, 7 October 2008","09:20, 27 August 2017",0,233
Tajima Plateau Botanical Gardens,"1,204",Fewer than 30 watchers,18,Yes,"21:59, 1 October 2007","07:16, 5 July 2017",0,45
"Washington Shirley, 9th Earl Ferrers","2,451",Fewer than 30 watchers,6,Yes,"22:51, 28 April 2014","22:03, 9 July 2016",0,59
Chlorosea,"1,397",Fewer than 30 watchers,11,Yes,"03:40, 23 May 2009","17:01, 12 October 2017",0,32
1996 Gangneung submarine infiltration incident,"6,229",Fewer than 30 watchers,119,Yes,"18:12, 21 June 2009","14:29, 22 September 2017",0,"3,578"
Hill Forts of Rajasthan,"2,646",Fewer than 30 watchers,186,Yes,"09:27, 27 January 2013","18:28, 24 November 2017",0,"3,761"
Artesia Daily Press,"1,142",Fewer than 30 watchers,6,Yes,"21:35, 16 July 2011","04:50, 10 October 2016",0,70
Say It's Not You,"3,940",Fewer than 30 watchers,30,Yes,"15:51, 26 July 2015","07:43, 10 July 2017",0,56
Stotts Creek,677,Fewer than 30 watchers,10,Yes,"06:35, 6 September 2015","01:39, 16 July 2017",0,18
Long Bloee caecilian,"2,192",Fewer than 30 watchers,21,Yes,"18:07, 22 July 2007","20:12, 13 January 2018",2,50
Mishnu,"1,820",Fewer than 30 watchers,3,Yes,"19:49, 6 December 2012","05:31, 26 March 2017",0,20
HM Prison New Hall,"5,433",Fewer than 30 watchers,63,Yes,"02:33, 18 December 2008","01:08, 16 January 2018",2,717
"Trutnowo, Warmian-Masurian Voivodeship","1,929",Fewer than 30 watchers,9,Yes,"12:22, 27 February 2009","18:24, 8 November 2017",0,33
Flag of Tulsa,"5,053",Fewer than 30 watchers,25,Yes,"05:44, 29 April 2017","20:15, 20 August 2017",0,230
Khaneh Dam,"1,958",Fewer than 30 watchers,6,Yes,"19:29, 17 October 2013","14:42, 22 March 2017",0,17
Vijay Award for Best Art Director,"4,715",Fewer than 30 watchers,36,Yes,"21:16, 17 October 2009","17:06, 25 August 2017",0,153
Hampton Lady Pirates basketball,"7,105",Fewer than 30 watchers,18,Yes,"00:46, 28 March 2017","08:12, 28 June 2017",0,66
Owyhee River,"17,593",Fewer than 30 watchers,182,Yes,"06:31, 4 June 2004","01:15, 7 January 2018",2,"1,033"
Musconetcong Mountain,"1,189",Fewer than 30 watchers,19,Yes,"21:24, 30 January 2010","20:52, 6 July 2017",0,110
Atlas method,"1,481",Fewer than 30 watchers,34,Yes,"16:32, 11 April 2007","05:20, 24 December 2016",0,686
"Nõmme, Rapla County","1,528",Fewer than 30 watchers,10,Yes,"13:28, 23 August 2010","15:07, 7 December 2017",0,60
Phantom of Chinatown,"4,702",Fewer than 30 watchers,67,Yes,"18:28, 26 June 2007","18:31, 19 November 2016",0,271
Canton of Roubaix-1,822,Fewer than 30 watchers,3,Yes,"08:14, 15 May 2017","13:17, 25 October 2017",0,26
List of Orthopterans of Sri Lanka,"13,628",Fewer than 30 watchers,63,Yes,"13:47, 6 June 2016","05:34, 14 January 2018",2,49
UCLA Fielding School of Public Health,"14,565",Fewer than 30 watchers,81,Yes,"11:25, 18 March 2007","06:51, 10 December 2017",0,169
Louisville Open,"5,320",Fewer than 30 watchers,36,Yes,"14:29, 5 June 2009","16:19, 26 May 2017",0,61
Don Avery,"1,409",Fewer than 30 watchers,29,Yes,"17:08, 16 May 2007","22:25, 28 August 2017",0,91
2015 NCAA Division III Men's Soccer Championship,"18,096",Fewer than 30 watchers,34,Yes,"17:37, 12 November 2015","05:24, 7 August 2017",0,31
George Nelson (footballer),"1,830",Fewer than 30 watchers,14,Yes,"13:43, 29 October 2014","02:32, 10 December 2017",0,32
Henry H. Crapo,"9,637",Fewer than 30 watchers,94,Yes,"14:05, 11 May 2006","06:03, 17 September 2017",0,299
Queshque,"3,369",Fewer than 30 watchers,22,Yes,"06:06, 25 April 2015","18:38, 29 October 2017",0,24
Rip (surname),240,Fewer than 30 watchers,2,Yes,"08:17, 19 March 2017","08:18, 19 March 2017",0,39
Sulabad,"1,633",Fewer than 30 watchers,4,Yes,"15:58, 28 August 2012","06:18, 9 December 2017",0,21
Isztimér,"1,437",Fewer than 30 watchers,30,Yes,"08:48, 10 May 2007","20:23, 2 July 2017",0,73
Terence Frederick Mitchell,"2,069",Fewer than 30 watchers,28,Yes,"16:20, 1 August 2009","08:18, 2 April 2017",0,60
Catasigerpes margarethae,849,Fewer than 30 watchers,10,Yes,"01:43, 24 March 2009","01:50, 14 March 2017",0,32
Djabwurrung language,899,Fewer than 30 watchers,8,Yes,"05:47, 6 February 2013","04:55, 22 January 2018",1,53
Brendetoppane,888,Fewer than 30 watchers,4,Yes,"20:31, 11 September 2014","15:57, 13 October 2014",0,17
Snake Hill Wildlife Management Area,"4,664",Fewer than 30 watchers,11,Yes,"17:16, 31 March 2008","07:53, 22 May 2017",0,188
2011–12 Tennessee Tech Golden Eagles men's basketball team,"19,803",Fewer than 30 watchers,19,Yes,"19:17, 8 March 2012","01:05, 28 May 2017",0,28
Momoka,"1,021",Fewer than 30 watchers,10,Yes,"12:11, 27 January 2013","11:12, 24 August 2016",0,454
Moneymakers,"3,432",Fewer than 30 watchers,12,Yes,"03:04, 7 September 2010","23:50, 22 May 2017",0,51
Amniocentesis,"17,593",66,596,4,"07:30, 24 February 2003","19:10, 6 January 2018",2,"27,904"
Thomas Parke,"2,277",Fewer than 30 watchers,17,Yes,"11:01, 22 April 2006","02:22, 2 June 2017",0,41
"Paramount Theater (Charlottesville, Virginia)","2,008",Fewer than 30 watchers,19,Yes,"14:17, 25 June 2010","00:21, 30 August 2017",0,228
Matt Costa,"5,780",Fewer than 30 watchers,374,Yes,"05:48, 7 October 2005","23:40, 9 October 2017",0,"1,070"
Cape Flattery Light,"6,499",Fewer than 30 watchers,79,Yes,"00:36, 19 August 2006","15:50, 20 November 2017",0,323
Gerald Gazdar,"3,743",Fewer than 30 watchers,49,Yes,"09:37, 10 June 2005","19:10, 1 May 2017",0,210
Chamber Music Journal,"1,564",Fewer than 30 watchers,32,Yes,"21:15, 28 March 2006","18:14, 5 September 2017",0,32
"New Mexico gubernatorial election, 1974","5,726",Fewer than 30 watchers,8,Yes,"23:22, 16 December 2016","17:16, 11 May 2017",0,123
Ge Yunfei,"2,106",Fewer than 30 watchers,28,Yes,"09:22, 14 January 2012","08:20, 31 August 2017",0,144
Bertholdia myosticta,756,Fewer than 30 watchers,6,Yes,"22:24, 12 September 2013","06:33, 1 December 2016",0,19
Ferdinand Francis Fernandez,"6,787",Fewer than 30 watchers,45,Yes,"20:35, 4 March 2009","15:00, 27 August 2017",0,261
Operculina turpethum,"1,766",Fewer than 30 watchers,39,Yes,"08:44, 6 February 2007","01:11, 6 September 2017",0,478
Arnaia History and Folklore Museum,"3,068",Fewer than 30 watchers,16,Yes,"16:07, 21 June 2012","16:01, 10 June 2016",0,20
